caseid,weight,Q_Norms_pick,Q_Institutions_pick,Q_Rights_pick,Q_Elections_pick,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q1_17,Q1_18,Q1_19,Q1_20,Q1_21,Q1_22,Q1_23,Q1_24,Q1_25,Q1_26,Q1_27,Q1_28,rating_USA,democracy_importance,NormsR_1,NormsR_2,NormsR_3,Norms_4,Norms_5,Norms_6,InstitutionsR_1,InstitutionsR_2,InstitutionsR_3,Institutions_4,Institutions_5,Institutions_6,RightsR_1,RightsR_2,RightsR_3,Rights_4,Rights_5,Rights_6,ElectionR_1,ElectionR_2,ElectionR_3,Elections_4,Elections_5,Elections_6,Q173_1,Q173_2,Q173_3,Q161_1,Q161_2,Q161_3,Q175_1,Q175_2,Q175_3,Q174_1,Q174_2,Q174_3,Q176_1,Q176_2,Q176_3,Q176_4,polinterest,approve_trmp,agreement,senator_term,prestimes,num_senators,prime_minister,houserep_term,answer_lookup,take_serious,comments,page_Q1_grid_timing,page_rating_USA_timing,page_democracy_importance_scale_,page_Norms_grid_timing,page_NormsR_grid_timing,page_Institutions_grid_timing,page_InstitutionsR_grid_timing,page_Rights_grid_timing,page_RightsR_grid_timing,page_Election_grid_timing,page_ElectionR_grid_timing,page_Q173_grid_timing,page_Q161_grid_timing,page_Q175_grid_timing,page_Q174_grid_timing,page_Q176_grid_timing,page_inputstate_timing,page_ideo7_timing,page_page_pid3_timing,page_page_pid7_timing,page_educ7_timing,page_ethnicity_timing,page_polinterest_timing,page_approve_trmp_timing,page_next_intro_pg_timing,page_senterm_pg_timing,page_presterm_pg_timing,page_primemin_pg_timing,page_houseterm_pg_timing,page_cheaters_pg_timing,page_serious_pg_timing,page_comments_timing,Q1_order_1,Q1_order_2,Q1_order_3,Q1_order_4,Q1_order_5,Q1_order_6,Q1_order_7,Q1_order_8,Q1_order_9,Q1_order_10,dad_order_1,dad_order_2,dad_order_3,dad_order_4,Norms_1_order,Norms_2_order,Norms_3_order,NormsR_1_order,NormsR_2_order,NormsR_3_order,Institutions_1_order,Institutions_2_order,Institutions_3_order,InstitutionsR_1_order,InstitutionsR_2_order,InstitutionsR_3_order,Election_1_order,Election_2_order,Election_3_order,ElectionR_1_order,ElectionR_2_order,ElectionR_3_order,Rights_1_order,Rights_2_order,Rights_3_order,RightsR_1_order,RightsR_2_order,RightsR_3_order,Scenario_order_1,Scenario_order_2,Scenario_order_3,Scenario_order_4,Q161_1_order,Q161_2_order,Q161_3_order,Q173_1_order,Q173_2_order,Q173_3_order,Q174_1_order,Q174_2_order,Q174_3_order,Q175_1_order,Q175_2_order,Q175_3_order,Q176_1_order,Q176_2_order,Q176_3_order,Q176_4_order,age,age9,ideo7,educ7,hispanic,ethnicity,birthyr,gender,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputstate,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1013603793,1.10605373589591,1,2,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,10,NA,NA,NA,1,1,1,5,5,5,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,4,4,4,4,4,1,1,1,4,1,3,2,2,3,1,2,1,Donald Trump deserves prison.,38.403,3.666,3.751,8.04,0,0,16.78,7.917,0,9.909,0,13.801,8.385,0,17.708,17.999,0,2.937,2.154,1.817,2.001,2.852,2.081,2.104,3.843,4.252,2.899,3.923,3.701,2.254,8.643,8.927,12,16,18,2,7,9,14,8,1,10,1,1,1,1,1,2,3,4,4,4,4,4,4,2,1,3,3,1,2,4,4,4,1,2,1,4,4,4,1,1,1,1,1,2,3,1,3,2,1,2,3,4,4,4,2,4,1,3,42,4,4,5,2,1,1977,1,1,5,1,1,13,1,1,1,32,1,3,1,10,6,2,4,7,2019-10-08T17:58:51Z,2019-10-08T18:04:06Z
1013252373,1.0896903683641,1,1,1,2,NA,2,NA,NA,3,3,NA,1,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,3,NA,1,1,NA,NA,NA,NA,33,9,NA,NA,NA,1,2,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,5,5,5,NA,NA,NA,5,2,3,1,1,1,1,2,2,NA,NA,NA,5,4,1,1,2,4,1,3,2,2,3,1,2,1,some questions especially on gerrymandering and funding issues are very complex and cannot be answered very simply on the Likert-like scale.,95.106,10.776,7.918,21.209,0,15.542,0,9.56,0,0,23.455,34.004,13.25,40.033,0,45.14,0,8.079,4.159,4.295,3.315,3.596,4.773,3.279,11.121,4.567,10.025,5.11,4.168,4.516,10.56,96.299,5,20,23,13,6,24,2,21,16,8,2,2,2,2,2,3,1,4,4,4,2,3,1,4,4,4,4,4,4,3,2,1,2,1,1,4,4,4,2,1,2,1,3,2,1,3,2,1,4,4,4,1,3,2,2,3,1,4,69,7,4,7,2,1,1950,1,1,6,6,5,8,1,2,1,29,1,3,1,2,6,2,4,8,2019-10-08T17:52:06Z,2019-10-08T18:04:30Z
1013564951,1.48934040636573,2,1,1,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,7,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,2,NA,NA,NA,2,1,1,1,1,1,NA,1,1,2,1,1,2,1,1,NA,NA,NA,NA,2,4,1,3,2,4,6,2,2,2,NA,30.5,11.036,8.813,0,6.021,20.757,0,5.706,0,5.095,0,4.339,5.099,5.215,4.564,0,0,23.418,17.054,7.283,9.112,4.476,35.37,6.141,12.795,7.632,7.075,8.114,6.462,6.105,4.971,2.59,17,26,15,13,6,16,1,20,23,22,3,3,1,3,4,4,4,3,2,1,3,1,2,4,4,4,2,1,3,4,4,4,1,1,2,4,4,4,1,2,1,2,3,1,2,1,3,2,3,1,2,2,3,1,5,5,5,5,67,7,2,5,2,2,1952,1,2,5,1,1,10,1,1,7,37,1,4,3,12,4,1,1,4,2019-10-08T17:58:25Z,2019-10-08T18:04:39Z
1013310767,1.39462187956848,1,2,2,2,3,NA,3,2,NA,NA,NA,2,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,3,3,NA,NA,NA,NA,NA,54,8,NA,NA,NA,2,2,4,5,4,4,NA,NA,NA,4,4,4,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,3,2,2,2,2,4,2,1,2,2,5,4,6,2,1,NA,73.996,13.459,5.714,39.982,0,0,27.538,0,30.029,0,21.987,0,18.843,31.874,36.693,28.241,0,6.478,2.326,3.495,7.132,3.945,3.64,5.088,8.381,8.963,4.349,8.79,7.619,10.233,9.172,2.914,1,23,3,22,15,19,8,4,12,9,4,4,2,4,3,2,1,4,4,4,4,4,4,3,1,2,4,4,4,1,3,2,3,3,3,3,2,1,3,3,1,1,2,3,1,4,4,4,2,1,3,3,1,2,4,2,1,3,72,7,2,3,2,1,1947,2,1,3,1,5,11,2,6,2,42,1,3,4,2,2,2,1,2,2019-10-08T17:54:23Z,2019-10-08T18:04:55Z
1013326071,0.313124546401048,1,1,2,2,1,NA,NA,2,NA,3,NA,NA,NA,4,4,NA,1,NA,2,NA,5,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,75,10,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,5,5,5,NA,NA,NA,5,5,5,NA,NA,NA,5,1,1,1,1,1,1,1,1,NA,NA,NA,5,5,1,1,3,4,1,1,2,4,6,6,2,1,The survey was very interesting. I only wish I was more aware of the workings of our government because I was not clear on some of the questions.,80.384,26.547,7.372,18.439,0,14.266,0,0,25.817,0,19.652,33.757,19.689,31.624,0,44.741,0,6.578,3.79,3.576,4.665,4.298,4.517,4.552,20.297,7.458,6.169,22.075,11.92,11.607,8.912,119.444,15,20,26,10,11,1,4,17,13,6,1,5,3,2,3,1,2,4,4,4,2,1,3,4,4,4,4,4,4,1,3,2,3,3,3,2,1,3,4,2,1,1,1,3,2,2,3,1,4,4,4,2,1,3,1,4,2,3,66,7,2,3,2,1,1953,2,1,3,3,2,4,1,2,4,24,1,4,2,9,6,2,4,7,2019-10-08T17:52:11Z,2019-10-08T18:05:20Z
1013327847,1.33413177116613,1,1,2,1,NA,NA,2,2,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,NA,2,2,70,9,NA,NA,NA,1,2,1,NA,NA,NA,1,1,1,5,5,5,NA,NA,NA,NA,NA,NA,4,2,4,NA,NA,NA,1,1,1,2,2,4,2,1,2,1,3,1,1,2,1,1,3,2,2,3,1,2,1,NA,69.326,11.311,9.902,20.487,0,32.356,0,0,22.356,32.573,0,0,15.938,25.168,52.344,30.372,0,6.732,4.36,4.135,4.808,6.716,5.758,7.177,21.316,10.263,6.178,7.573,7.369,14.22,16.514,5.017,22,24,28,25,3,13,27,10,23,4,3,4,4,5,1,2,3,4,4,4,2,1,3,4,4,4,1,2,3,4,4,4,3,3,3,3,1,2,1,2,1,1,3,2,1,4,4,4,1,2,3,3,2,1,2,3,1,4,59,6,3,3,2,1,1960,1,1,3,3,6,1,3,5,2,9,1,4,1,1,5,1,1,1,2019-10-08T17:51:57Z,2019-10-08T18:05:21Z
1013340621,0.845427091636553,1,1,1,2,NA,3,NA,NA,NA,NA,NA,NA,3,2,3,NA,3,NA,NA,NA,NA,NA,3,NA,2,3,NA,2,NA,NA,NA,3,73,8,NA,NA,NA,1,2,1,NA,NA,NA,2,4,1,NA,NA,NA,1,1,1,5,4,4,NA,NA,NA,1,3,3,NA,NA,NA,3,3,3,1,3,3,2,2,2,1,2,1,1,3,2,2,3,1,2,1,There is confusion defining our county's form of government. It is a constitutional republic and not a pure democracy. You need to define by definition what a democracy are referencing to. Thank You.,68.54,23.675,8.721,24.573,0,26.02,0,16.571,0,0,25.082,28.53,0,32.107,37.564,43.924,0,4.302,3.711,3.482,7.336,5.551,4.657,5.504,9.526,7.306,6.194,7.455,5.376,6.995,17.693,97.043,2,21,24,28,9,13,19,22,10,11,1,5,5,6,2,3,1,4,4,4,2,1,3,4,4,4,4,4,4,3,2,1,2,1,1,4,4,4,3,1,3,3,4,4,4,1,2,3,3,1,2,2,3,1,3,2,4,1,64,6,1,5,2,1,1955,1,1,5,1,5,5,2,7,2,48,1,5,1,1,2,1,1,2,2019-10-08T17:56:27Z,2019-10-08T18:07:45Z
1013230315,0.70252707508798,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,2,2,1,40,9,NA,NA,NA,1,2,1,5,5,5,NA,NA,NA,5,5,5,NA,NA,NA,5,5,5,NA,NA,NA,5,2,5,1,2,1,1,1,3,2,4,4,NA,NA,NA,NA,3,4,1,3,2,2,3,1,2,1,n/a,66.101,17.266,6.199,16.038,0,0,14.32,0,12.899,0,27.303,23.155,26.234,26.192,34.532,0,0,6.089,4.367,4.362,2.928,3.16,3.612,2.894,10.851,5.303,5.281,4.554,9.829,5.449,7.05,7.083,14,12,8,28,13,26,16,27,23,20,1,1,5,7,1,3,2,4,4,4,4,4,4,3,1,2,4,4,4,3,1,2,3,3,3,1,2,3,1,1,1,4,3,2,1,3,2,1,2,3,1,1,3,2,5,5,5,5,52,5,5,7,2,2,1967,2,2,6,1,1,12,1,1,1,24,1,2,1,2,2,2,1,1,2019-10-08T17:58:46Z,2019-10-08T18:08:27Z
1013220441,0.913311301540743,1,2,2,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,NA,2,3,NA,NA,NA,NA,1,4,NA,NA,NA,26,9,NA,NA,NA,1,1,1,5,5,5,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,2,4,1,4,4,1,3,4,4,4,4,4,1,4,4,NA,NA,NA,NA,2,1,1,2,2,2,3,1,2,1,NA,104.342,17.329,17.375,26.149,0,0,30.054,0,23.55,69.807,0,35.027,24.924,51.28,61.507,0,0,13.628,5.553,4.715,5.713,5.168,7.014,6.662,20.203,20.702,7.275,9.093,17.311,13.587,12.646,5.341,12,25,4,16,15,19,2,18,5,24,3,6,6,7,1,2,3,4,4,4,4,4,4,3,2,1,3,2,1,4,4,4,3,3,3,3,1,2,1,2,1,2,1,2,3,1,3,2,1,3,2,3,2,1,5,5,5,5,68,7,1,5,2,1,1951,1,1,5,1,1,97,2,7,2,36,1,5,1,2,2,2,1,2,2019-10-08T17:54:11Z,2019-10-08T18:09:18Z
1013253255,0.917369734272658,2,2,2,1,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,4,2,2,NA,NA,NA,3,NA,NA,NA,100,10,7,7,7,NA,NA,NA,7,7,7,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,2,1,1,NA,2,4,6,1,2,1,waste of time survey. very bias,179.872,38.206,38.931,0,41.93,0,20.002,0,13.326,136.241,0,8.272,5.95,20.18,19.167,0,0,16.556,3.401,2.747,12.203,3.566,6.22,7.066,31.191,30.006,9.058,9.515,14.674,5.117,9.31,54.103,13,18,1,19,7,20,8,6,25,21,3,1,7,7,4,4,4,1,2,3,4,4,4,2,1,3,2,1,3,4,4,4,3,3,3,2,3,1,3,3,1,2,2,3,1,3,2,1,1,2,3,2,1,3,5,5,5,5,66,7,2,3,2,1,1953,1,1,3,1,1,8,2,7,2,6,1,4,2,2,5,2,2,2,2019-10-08T17:52:01Z,2019-10-08T18:09:31Z
1013284083,0.785501834528233,1,2,2,1,NA,NA,2,NA,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,3,2,NA,2,73,9,NA,NA,NA,1,1,1,5,5,5,NA,NA,NA,2,5,5,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,2,1,NA,NA,NA,3,4,4,3,4,1,2,1,4,1,3,2,2,3,1,2,1,NA,91.174,15.094,9.708,16.895,0,0,21.325,0,32.589,24.552,0,27.554,20.845,0,33.978,46.227,0,5.232,3.181,2.392,4.119,3.95,4.97,4.959,15.484,8.4,11.174,4.813,8.393,17.367,9.145,4.534,9,22,19,26,10,28,3,7,25,17,5,7,2,4,3,2,1,4,4,4,4,4,4,1,2,3,1,3,2,4,4,4,3,3,3,1,3,2,2,4,4,3,3,2,1,2,3,1,1,2,3,4,4,4,3,2,4,1,67,7,7,5,2,1,1952,1,1,5,1,5,9,1,1,1,41,1,1,1,11,6,2,4,6,2019-10-08T17:56:45Z,2019-10-08T18:10:57Z
1013604611,0.881651652889387,2,2,1,2,2,NA,NA,NA,2,3,NA,NA,NA,4,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,3,2,72,10,5,5,7,NA,NA,NA,5,7,5,NA,NA,NA,NA,NA,NA,1,1,1,5,5,5,NA,NA,NA,1,3,2,1,2,1,2,3,3,NA,NA,NA,4,4,1,1,1,4,1,3,2,2,3,1,2,1,NA,83.549,8.809,4.364,0,20.652,0,114.587,12.382,0,0,33.307,20.643,19.11,31.374,0,24.746,0,3.763,1.779,1.585,3.508,1.693,1.798,2.023,7.463,3.082,3.854,3.658,2.818,4.848,7.521,2.246,18,27,11,6,28,25,14,5,10,1,6,8,6,8,4,4,4,1,2,3,4,4,4,3,1,2,4,4,4,1,2,3,2,1,1,4,4,4,3,5,4,1,2,1,3,2,3,1,4,4,4,1,2,3,4,2,1,3,37,4,7,6,2,1,1982,1,1,6,1,1,15,1,1,1,47,1,1,1,1,3,2,3,6,2019-10-08T18:02:17Z,2019-10-08T18:11:08Z
